id,price_amount,marketing_carrier_name,origin_place_name,origin_place_iata,destination_place_name,destination_place_iata,departure_datetime,arrival_datetime,departure_query,arrival_query,segment_count,total_flight_duration
9618-2305221745--31939-1-13288-2305231005,887.68,Qatar Airways > Qatar Airways,Abu Dhabi International > Hamad International,AUH > DOH,Hamad International > Kathmandu,DOH > KTM,2023-05-22 17:45:00,2023-05-23 10:05:00,AUH,KTM,2,350
9618-2305221745--31939-1-13288-2305231645,454.74,Qatar Airways > Qatar Airways,Abu Dhabi International > Hamad International,AUH > DOH,Hamad International > Kathmandu,DOH > KTM,2023-05-22 17:45:00,2023-05-23 16:45:00,AUH,KTM,2,350
9618-2305221745--31939-1-13311-2305230825,609.94,Qatar Airways > Qatar Airways,Abu Dhabi International > Hamad International,AUH > DOH,Hamad International > Kuala Lumpur International,DOH > KUL,2023-05-22 17:45:00,2023-05-23 08:25:00,AUH,KUL,2,520
9618-2305221745--31939-1-13344-2305222100,313.7,Qatar Airways > Qatar Airways,Abu Dhabi International > Hamad International,AUH > DOH,Hamad International > Kuwait,DOH > KWI,2023-05-22 17:45:00,2023-05-22 21:00:00,AUH,KWI,2,155
9618-2305221745--31939-1-13938-2305222130,366.9,Qatar Airways > Qatar Airways,Abu Dhabi International > Hamad International,AUH > DOH,Hamad International > Muscat,DOH > MCT,2023-05-22 17:45:00,2023-05-22 21:30:00,AUH,MCT,2,155
9618-2305221745--31939-1-14155-2305230750,830.5,Qatar Airways > Qatar Airways,Abu Dhabi International > Hamad International,AUH > DOH,Hamad International > Velana International,DOH > MLE,2023-05-22 17:45:00,2023-05-23 07:50:00,AUH,MLE,2,360
9618-2305221745--31939-1-14788-2305231835,1211.71,Qatar Airways > Qatar Airways,Abu Dhabi International > Hamad International,AUH > DOH,Hamad International > Tokyo Narita,DOH > NRT,2023-05-22 17:45:00,2023-05-23 18:35:00,AUH,NRT,2,695
9618-2305221745--31939-1-16292-2305230905,422.9,Qatar Airways > Qatar Airways,Abu Dhabi International > Hamad International,AUH > DOH,Hamad International > Singapore Changi,DOH > SIN,2023-05-22 17:45:00,2023-05-23 09:05:00,AUH,SIN,2,550
9618-2305221745--31939-1-9445-2305222220,239.62,Qatar Airways > Qatar Airways,Abu Dhabi International > Hamad International,AUH > DOH,Hamad International > Amman Queen Alia,DOH > AMM,2023-05-22 17:45:00,2023-05-22 22:20:00,AUH,AMM,2,250
9618-2305221745--31939-1-9882-2305222100,585.98,Qatar Airways > Qatar Airways,Abu Dhabi International > Hamad International,AUH > DOH,Hamad International > Baghdad International,DOH > BGW,2023-05-22 17:45:00,2023-05-22 21:00:00,AUH,BGW,2,190
9618-2305221745--31939-1-9970-2305230705,383.94,Qatar Airways > Qatar Airways,Abu Dhabi International > Hamad International,AUH > DOH,Hamad International > Bangkok Suvarnabhumi,DOH > BKK,2023-05-22 17:45:00,2023-05-23 07:05:00,AUH,BKK,2,495
9618-2305221745--31939-2-12071-2305231210,1034.72,Qatar Airways > Qatar Airways > Qatar Airways,Abu Dhabi International > Hamad International > Kuala Lumpur International,AUH > DOH > KUL,Hamad International > Kuala Lumpur International > Hanoi,DOH > KUL > HAN,2023-05-22 17:45:00,2023-05-23 12:10:00,AUH,HAN,3,730
9618-2305221745--31939-2-12409-2305232115,1647.38,Qatar Airways > Qatar Airways > Qatar Airways,Abu Dhabi International > Hamad International > Hong Kong Intl,AUH > DOH > HKG,Hamad International > Hong Kong Intl > Incheon International Airport,DOH > HKG > ICN,2023-05-22 17:45:00,2023-05-23 21:15:00,AUH,ICN,3,790
9618-2305221745--31939-2-12569-2305231310,501.03,Qatar Airways > Qatar Airways > Qatar Airways,Abu Dhabi International > Hamad International > Muscat,AUH > DOH > MCT,Hamad International > Muscat > Islamabad,DOH > MCT > ISB,2023-05-22 17:45:00,2023-05-23 13:10:00,AUH,ISB,3,325
9618-2305222035--32062-1-9445-2305230900,285.91,MEA > MEA,Abu Dhabi International > Beirut,AUH > BEY,Beirut > Amman Queen Alia,BEY > AMM,2023-05-22 20:35:00,2023-05-23 09:00:00,AUH,AMM,2,255
9618-2305222035--32062-1-9882-2305231340,260.43,MEA > MEA,Abu Dhabi International > Beirut,AUH > BEY,Beirut > Baghdad International,BEY > BGW,2023-05-22 20:35:00,2023-05-23 13:40:00,AUH,BGW,2,285
9618-2305222045--32119-0-13344-2305222130,485.6,Kuwait Airways,Abu Dhabi International,AUH,Kuwait,KWI,2023-05-22 20:45:00,2023-05-22 21:30:00,AUH,KWI,1,105
9618-2305222045--32339-0-13344-2305222130,172.2,Etihad Airways,Abu Dhabi International,AUH,Kuwait,KWI,2023-05-22 20:45:00,2023-05-22 21:30:00,AUH,KWI,1,105
9618-2305222055--31896-0-16029-2305222145,257.8,Saudia,Abu Dhabi International,AUH,Riyadh,RUH,2023-05-22 20:55:00,2023-05-22 21:45:00,AUH,RUH,1,110
9618-2305222055--32339-0-16029-2305222145,187.47,Etihad Airways,Abu Dhabi International,AUH,Riyadh,RUH,2023-05-22 20:55:00,2023-05-22 21:45:00,AUH,RUH,1,110
"9618-2305222115--32339,-32036,-31836-3-11191-2305231500",619.99,Etihad Airways > Flynas > Flynas > Somon Air,Abu Dhabi International > Dammam > Riyadh > Dubai,AUH > DMM > RUH > DXB,Dammam > Riyadh > Dubai > Dushanbe,DMM > RUH > DXB > DYU,2023-05-22 21:15:00,2023-05-23 15:00:00,AUH,DYU,4,455
9618-2305222125--32003-0-13938-2305222235,247.0,Oman Air,Abu Dhabi International,AUH,Muscat,MCT,2023-05-22 21:25:00,2023-05-22 22:35:00,AUH,MCT,1,70
"9618-2305222125--32339,-32348-2-11191-2305240255",1096.9,Etihad Airways > Emirates > Emirates,Abu Dhabi International > Muscat > Dubai,AUH > MCT > DXB,Muscat > Dubai > Dushanbe,MCT > DXB > DYU,2023-05-22 21:25:00,2023-05-24 02:55:00,AUH,DYU,3,340
9618-2305222125--32339-0-13938-2305222235,133.0,Etihad Airways,Abu Dhabi International,AUH,Muscat,MCT,2023-05-22 21:25:00,2023-05-22 22:35:00,AUH,MCT,1,70
"9618-2305222135--32339,-31821-1-14155-2305230815",966.65,Etihad Airways > SriLankan Airlines,Abu Dhabi International > Colombo Bandaranayake,AUH > CMB,Colombo Bandaranayake > Velana International,CMB > MLE,2023-05-22 21:35:00,2023-05-23 08:15:00,AUH,MLE,2,365
9618-2305222135--32339-0-10610-2305230345,323.97,Etihad Airways,Abu Dhabi International,AUH,Colombo Bandaranayake,CMB,2023-05-22 21:35:00,2023-05-23 03:45:00,AUH,CMB,1,280
9618-2305222135--32339-0-11089-2305222135,125.37,Etihad Airways,Abu Dhabi International,AUH,Hamad International,DOH,2023-05-22 21:35:00,2023-05-22 21:35:00,AUH,DOH,1,60
9618-2305222135--32339-1-14155-2305230815,884.96,Etihad Airways > Etihad Airways,Abu Dhabi International > Colombo Bandaranayake,AUH > CMB,Colombo Bandaranayake > Velana International,CMB > MLE,2023-05-22 21:35:00,2023-05-23 08:15:00,AUH,MLE,2,365
"9618-2305222210--32339,-31714-2-11191-2305240900",1945.9,Etihad Airways > Uzbekistan Airways > Uzbekistan Airways,Abu Dhabi International > Indira Gandhi International  > Tashkent,AUH > DEL > TAS,Indira Gandhi International  > Tashkent > Dushanbe,DEL > TAS > DYU,2023-05-22 22:10:00,2023-05-24 09:00:00,AUH,DYU,3,450
"9618-2305222210--32339,-32690-1-15277-2305231725",1599.2,Etihad Airways > Air China,Abu Dhabi International > Tokyo Narita,AUH > NRT,Tokyo Narita > Beijing Capital,NRT > PEK,2023-05-22 22:10:00,2023-05-23 17:25:00,AUH,PEK,2,840
"9618-2305222210--32339,-32708-2-11191-2305231730",482.0,Etihad Airways > Air Astana > Air Astana,Abu Dhabi International > Indira Gandhi International  > Almaty,AUH > DEL > ALA,Indira Gandhi International  > Almaty > Dushanbe,DEL > ALA > DYU,2023-05-22 22:10:00,2023-05-23 17:30:00,AUH,DYU,3,520
"9618-2305222210--32339,-32708-2-15277-2305240455",510.5,Etihad Airways > Air Astana > Air Astana,Abu Dhabi International > Indira Gandhi International  > Almaty,AUH > DEL > ALA,Indira Gandhi International  > Almaty > Beijing Capital,DEL > ALA > PEK,2023-05-22 22:10:00,2023-05-24 04:55:00,AUH,PEK,3,690
9618-2305222210--32339-0-10957-2305230310,163.38,Etihad Airways,Abu Dhabi International,AUH,Indira Gandhi International ,DEL,2023-05-22 22:10:00,2023-05-23 03:10:00,AUH,DEL,1,210
"9618-2305222215--32128,-32052-1-25768-2305231700",1433.99,Korean Air > MIAT Mongolian Airlines,Abu Dhabi International > Incheon International Airport,AUH > ICN,Incheon International Airport > Chinggis Khaan,ICN > UBN,2023-05-22 22:15:00,2023-05-23 17:00:00,AUH,UBN,2,725
9618-2305222215--32128-1-25768-2305231700,1490.99,Korean Air > Korean Air,Abu Dhabi International > Incheon International Airport,AUH > ICN,Incheon International Airport > Chinggis Khaan,ICN > UBN,2023-05-22 22:15:00,2023-05-23 17:00:00,AUH,UBN,2,725
9618-2305222215--32128-1-25768-2305240415,1352.99,Korean Air > Korean Air,Abu Dhabi International > Incheon International Airport,AUH > ICN,Incheon International Airport > Chinggis Khaan,ICN > UBN,2023-05-22 22:15:00,2023-05-24 04:15:00,AUH,UBN,2,725
"9618-2305222215--32339,-32052-1-25768-2305231700",1485.99,Etihad Airways > MIAT Mongolian Airlines,Abu Dhabi International > Incheon International Airport,AUH > ICN,Incheon International Airport > Chinggis Khaan,ICN > UBN,2023-05-22 22:15:00,2023-05-23 17:00:00,AUH,UBN,2,725
